"Case","Element Count","Time {nanoseconds}"
"Best Case","1000","43154"
"Best Case","10000","503884"
"Best Case","100000","5672695"
"Average Case","1000","33864"
"Average Case","10000","511474"
"Average Case","100000","5813231"
"Worst Case","1000","34026"
"Worst Case","10000","506618"
"Worst Case","100000","5638257"
